Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
1001 Children's Books You Must Read Before You Grow Up,,You Must Read Before You Grow Up,,,"Julia Eccleshare,Quentin Blake","Eccleshare, Julia",,,,,,Cassell Illustrated,,,2009,,,,Best books,"1001 Children's Books You Must Read Before You Grow Up is the perfect introduction to the very best books of childhood: those books that have a special place in the heart of every reader. It introduces a wonderfully rich world of literature to parents and their children, offering both new titles and much-loved classics that many generations have read and enjoyed. From wordless picture books and books introducing the first words and sounds of the alphabet through to hard-hitting and edgy teenage fiction, the titles featured in this book reflect the wealth of reading opportunities for children.Browsing the titles in 1001 Children's Books You Must Read Before You Grow Up will take you on a journey of discovery into fantasy, adventure, history, contermporary life, and much more. These books will enable you to travel to some of the most famous imaginary worlds such as Narnia, Middle Earth, and Hogwart's School. And the route taken may be pretty strange, too. You may fall down a rabbit hole, as Alice does on her way to Wonderland, or go through the back of a wardrobe to reach the snowy wastes of Narnia.",,,,,,,,,,,960,,,,,,英语,,,,,,9781844036714,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:31:24.609997034,,,,,,,,fFxrPgAACAAJ,,0,0,0,,,
1001 Movies You Must See Before You Die,,Updated For 2021,,,Steven Jay Schneider,"Schneider, Steven Jay",,,,,,Octopus Publishing Group,,2021/10/07,2021,,,,"Motion pictures, reviews","""I have, by the way, seen 943 of the 1001 movies, and am carefully rationing the remaining titles to prolong my life."" - Roger Ebert""1001 ways to give cinema new scope."" - The HeraldExpert critics in each genre of film, from romance to horror and sci-fi, have once again painstakingly revised this list of essential must see-movies, cut and added films to bring the must-watch list bang up to date for 2013, from great classics like The Birth of a Nation and Gone With the Wind to recent Oscar winners like Life of Pi, Amour, Argo and the blockbusters that is Skyfall. Each entry tells you exactly why these films deserve inclusion in this definitive illustrated list, engaging readers in each film's concept development and production, including curious trivia facts about the movies, as well as the most famous pieces of memorabilia associated with them.Illustrated with hundreds of stunning film stills, portraits and poster art 1001 Movies You Must See Before You Dieoffers an incredible visual insight into the world of modern cinema. It puts together the most significant movies from all genres, from animation to Western, through action, comedy, documentary, musical, noir, romance, thriller, short and sci-fi. Movies from over 30 different countries have been included, offering a truly wide multi-cultural perspective, and the time span includes more than a century of extraordinary cinematography. Packed with vital statistics, and a few facts that might surprise you, this is a collector's must for the bookshelf as well as an entertaining read for all those who love the world of film. Whether your passion lies with The Blue Angel or Blue Velvet, from the films you shouldn't have missed the first time around, to the films you can see again and again, 1001 Movies You Must See Before You Die is the definitive guide for all movie lovers.Contents includes... Introduction19001910192019301940 195019601970 198019902000",,,,,,,,,,,,,,,,,英语,,,,,,9781788403450,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:31:55.907811164,,,,,,,,nOJnzgEACAAJ,,0,0,0,,,
2 的平方根,,,,,"戴维•弗兰纳里,郑炼",戴维•弗兰纳里,,,,,,上海科技教育出版社,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,9787542849373,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/11 13:25:03.194681167,,,,,,,,,O数理化,0,0,0,,,
阿德勒心理学,,,,,"（奥）阿德勒,康源,盛宁",（奥）阿德勒,,,,,,Beijing Book Co. Inc.,,2018/08/01,2018,,,,Psychology,本书为个体心理学先驱阿德勒博士巅峰期经典作品集，含3部作品，是一套涉及儿童教育、心理健康、人性透视和心灵励志的通俗心理学读物，帮助你更好地发挥自身潜能、理解他人，放大人生的格局。,,,,,,,,,,,581,,,,,,中文,,,,,,9787516818497,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/07 16:10:32.498710989,,,,,,,,tdrzDwAAQBAJ,,0,0,0,,,
八百万种死法,,,,,"Lawrence Block,布洛克","Block, Lawrence",,,,,,江苏凤凰文艺出版社,,,2020,,,,American fiction,"本书主要讲述了一位穷困潦倒的酗酒侦探马修,接了一位委托人的委托金后,委托人却被杀害在旅店中.作为一名生活在城市底层的人,委托人的死没掀起多大波澜,但马修却无法接受,执意要调查这起杀人案.",,,,,,,,,,,381,,,,,,中文,,,,,,9787559444653,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 07:23:05.375019073,,,,,,,,Qce6zQEACAAJ,,0,0,0,,,
白话机器学习的数学,,,,,立石贤吾,立石贤吾,,,,,,人民邮电出版社,,,2020,,,,,"本书通过正在学习机器学习的程序员绫乃和她朋友美绪的对话,结合回归和分类的具体问题,逐步讲解了机器学习相关的数学基础知识.其中,重点讲解了学习机器学习时容易成为绊脚石的数学公式和符号.同时,本书还通过实际的Python编程讲解了数学公式的应用,进而加深读者对相关数学知识的理解.",,,,,,,,,,,272,,,,,,中文,,,,,,9787115536211,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 00:55:06.687270879,,,,,,,,X1JbzgEACAAJ,,0,0,0,,,
贝叶斯的博弈,,,,,黄黎原,黄黎原,,,,,,人民邮电出版社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9787115555632,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/21 14:40:36.891787052,,,,,,,,,,0,0,0,,,
被讨厌的勇气：“自我启发之父”阿德勒的哲学课,,,,,"（日）岸见一郎,古贺史健,渠海霞（译）",（日）岸见一郎,,,,,,Beijing Book Co. Inc.,,2017/05/01,2017,,,,Philosophy,一名深陷自卑、无能与不幸福的青年，听到了一名哲人主张的“世界无比单纯，人人都能幸福”便来挑战，两人展开了你来我往的思考和辩论，在一夜一夜过去后，青年开始思考，为什么“所谓的自由，就是被别人讨厌”？问题不在于世界是什么样子，在于你是什么样子。,,,,,,,,,,,194,,,,,,中文,,,,,,9787111495482,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/05 02:35:11.780569076,,,,,,,,mtPUDwAAQBAJ,,0,0,0,,,
编程珠玑,,,,,本特利,本特利,,,,,,人民邮电出版社,,,2019,,,,,"本书是计算机科学方面的经典名著.书的内容围绕程序设计人员面对的一系列实际问题展开.作者选取许多具有典型意义的复杂编程和算法问题,描绘了历史上大师们在探索解决方案中发生的轶事,走过的弯路和不断精益求精的历程,引导读者像真正的程序员和软件工程师那样富于创新性地思考,并阐述和总结了许多设计原则,思考和解决问题的方法以及实用程序设计技巧.",,,,,,,,,,,266,,,,,,中文,,,,,,9787115516282,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/11/27 00:54:25.067901134,,,,,,,,46GvzQEACAAJ,,0,0,0,,,
参谋助手论,,为首长服务的艺术,,,王怀志,王怀志,,,,,,世界图书出版公司北京公司,,,2014,,,,,"本书内容以部队军政机关为背景,选取了秘书工作中的27个侧面,涉及协助首长决策,否定首长错误意见,向首长传递假话,处理首长间矛盾,安排会议坐席次序,撰写会议讲话稿等情境,以""原则是什么"",""最好如何处理"",""应注意的问题""为写作纲领,着重技术性知识的传授,并使其上升到艺术的高度.",,,,,,,,,,,294,,,,,,中文,,,,,,9787510060205,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/04 06:49:06.273924827,,,,,,,,n0cdswEACAAJ,,0,0,0,,,
