Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
阿刁,赵雷,赵雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:21:57.177102088,,,,,,,,,,0,,,
阿lam日记,林子祥,林子祥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 05:00:46.113394021,,,,,,,,,,0,,,
爱的代价,张艾嘉,张艾嘉,,,,,,,1992,,,,,,李宗盛,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 11:53:05.686675071,,,,,,,,,爱情,0,0,,
爱如潮水,张信哲,张信哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:09:20.284808158,,,,,,,,,爱情,0,0,,
爱上张无忌,毛阿敏,毛阿敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 05:13:25.117323875,,,,,,,,,爱情,0,0,,
爱丫爱丫,By2,By2,,,,,,中国大陆,2008,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:35:00.644778966,,,,,,,,,爱情,0,,,
把孤独当做晚餐,井胧,井胧,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:44:54.394992828,,,,,,,,,人生,0,,,
霸王别姬,屠洪刚,屠洪刚,,,,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:40:39.851736068,,,,,,,,,爱情,0,0,https://pic.baike.soso.com/ugc/baikepic2/40414/cut-20160119152340-1846995426.jpg/0,
白桦林,朴树,朴树,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 13:58:11.052022933,,,,,,,,,,0,,,
白色恋人,游鸿明,游鸿明,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:40:24.003777980,,,,,,,,,爱情,0,,,
半岛铁盒,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:41:37.950034141,,,,,,,,,,0,,,
半糖主义,S.H.E,S.H.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:36:43.099434852,,,,,,,,,,0,,,
北京东路的日子,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:37:02.904804944,,,,,,,,,,0,,,
北京欢迎你,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:32:32.173161983,,,,,,,,,,0,,,
本草纲目,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:43:30.736011981,,,,,,,,,,0,,,
闭上眼睛去旅行 (Travel Light),Various,,,,,,,,2003,,"[{""title"":""1-1. 至少还有你"",""duration"":0},{""title"":""1-2. 沙滩"",""duration"":0},{""title"":""1-3. 味道"",""duration"":0},{""title"":""1-4. 春光"",""duration"":0},{""title"":""1-5. 这些日子以来"",""duration"":0},{""title"":""1-6. 皇后之歌"",""duration"":0},{""title"":""1-7. 双手的温柔"",""duration"":0},{""title"":""1-8. 纪念"",""duration"":0},{""title"":""1-9. 陪伤心人说往事"",""duration"":0},{""title"":""1-10. 男人不该让女人流泪"",""duration"":0},{""title"":""1-11. 情难枕"",""duration"":0},{""title"":""1-12. 秋天别来"",""duration"":0},{""title"":""1-13. 傀儡尪仔"",""duration"":0},{""title"":""1-14. 爱情"",""duration"":0},{""title"":""1-15. 分享"",""duration"":0},{""title"":""1-16. 最熟悉的陌生人"",""duration"":0},{""title"":""2-1. 矜持"",""duration"":0},{""title"":""2-2. 如果云知道"",""duration"":0},{""title"":""2-3. 用情"",""duration"":0},{""title"":""2-4. 你是我前世的知己"",""duration"":0},{""title"":""2-5. 街角的祝福"",""duration"":0},{""title"":""2-6. 认错"",""duration"":0},{""title"":""2-7. 梦醒时分"",""duration"":0},{""title"":""2-8. 爱我"",""duration"":0},{""title"":""2-9. 点亮霓虹灯"",""duration"":0},{""title"":""2-10. 用心良苦"",""duration"":0},{""title"":""2-11. 容易爱伤的女人"",""duration"":0},{""title"":""2-12. 橄榄树"",""duration"":0},{""title"":""2-13. 回家"",""duration"":0},{""title"":""2-14. 囚鸟"",""duration"":0},{""title"":""2-15. 太傻"",""duration"":0},{""title"":""2-16. 鲁冰花"",""duration"":0}]",,"Pop,Stage & Screen",,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2021/11/21 13:08:11.598786830,,,,,,,,12541010,,0,0,https://img.discogs.com/uJe0ho6FL6wJNEqwKIvNmIOsvTg=/fit-in/550x563/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12541010-1537274515-3412.jpeg.jpg,
不仅仅是喜欢,虎二,虎二,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:22:00.696249961,,,,,,,,,爱情,0,,,
